 ,КОМАНДА,И,В,П,ВД,ПД,ОЧКИ,В КАРТ,% ОЧКОВ
1,Team Bug,9,9,0,0,0,27,18-0,1.00
2,Team Koffee,10,7,2,1,0,23,16-5,0.77
3,Winners in Life,8,4,2,2,0,16,12-6,0.67
4,Team Small,7,4,1,1,1,15,11-5,0.71
5,Team Vernon,3,3,0,0,0,9,6-0,1.00
6,Bombers,6,2,3,0,1,7,5-8,0.39
7,Team Raynn,8,1,4,1,2,7,6-13,0.29
8,Femme Fatale,10,1,5,0,4,7,6-18,0.23
9,Team Mind,5,2,3,0,0,6,4-6,0.40
10,Pepseeper.Style,5,0,3,2,0,4,4-8,0.27
11,Quattro Team,5,0,4,1,0,2,2-9,0.13
12,Team KEEPer,3,0,3,0,0,0,0-6,0.00
13,Team Rocky,3,0,3,0,0,0,0-6,0.00
